climbName,climbID,userID1,userID2,userStars2,climbGrade,userStars1
Super Crack,105949134,107148964,107608804,5,5.9+,5
Super Crack,105949134,106389733,106919775,5,5.9+,5
Super Crack,105949134,108550796,108473510,5,5.9+,5
Super Crack,105949134,106740823,107051650,5,5.9+,5
Super Crack,105949134,106580951,106766740,5,5.9+,5
Super Crack,105949134,106656735,106030214,5,5.9+,5
Mushrooms,106064720,106098789,107287077,4,5.10a,4
Mushrooms,106064720,105952525,107646553,4,5.10a,4
Mushrooms,106064720,105831906,106819472,4,5.10a,4
Mushrooms,106064720,12084,106298371,4,5.10a,4
Mushrooms,106064720,108473510,106740823,3,5.10a,3
Mushrooms,106064720,14201,107340553,3,5.10a,3
Mushrooms,106064720,106418002,106580951,3,5.10a,3
Mushrooms,106064720,106405973,106427485,3,5.10a,3
Momma's Squeeze Box,106032608,106418002,,,5.8,3
Momma's Squeeze Box,106032608,105837907,,,5.8,3
Let's Make A Deal,106270966,12084,,,5.11c,3
Let's Make A Deal,106270966,106285308,,,5.11c,3
Let's Make A Deal,106270966,105855362,,,5.11c,3
Let's Make A Deal,106270966,106024037,,,5.11c,2
Gun Club,108049258,106285308,,,5.12c,5
Concertina,108341752,106285308,,,5.12a,5
Concertina,108341752,107340553,,,5.12a,5
Concertina,108341752,107251896,,,5.12a,5
Concertina,108341752,106892045,,,5.12a,5
Backlash,106421433,106418002,,,5.12a,3
Backlash,106421433,106031999,,,5.12a,3
Backlash,106421433,106314584,,,5.12a,3
Backlash,106421433,106285308,,,5.12a,3
Backlash,106421433,107251896,,,5.12a,2
Super Crack,105949134,12084,106298371,5,5.9+,5
Super Crack,105949134,105837907,106418002,5,5.9+,5
Super Crack,105949134,105904878,106031999,5,5.9+,5
Super Crack,105949134,105831906,11387,5,5.9+,5
Super Crack,105949134,105912797,106359490,5,5.9+,5
Super Crack,105949134,106720671,106655109,5,5.9+,5
Super Crack,105949134,106525658,107287077,5,5.9+,5
Super Crack,105949134,106098789,106792700,5,5.9+,5
Backlash,106421433,105855362,,,5.12a,2
Super Crack,105949134,105871367,106736701,5,5.9+,5
Super Crack,105949134,106819472,106568500,5,5.9+,5
Super Crack,105949134,106803881,106427485,4,5.9+,5
Super Crack,105949134,14201,107094866,4,5.9+,4
Super Crack,105949134,106388951,107448536,3,5.9+,3
Pure Power,106866818,106031999,,,5.13a,3
Pure Power,106866818,107089682,,,5.13a,3
Pure Power,106866818,105952525,,,5.13a,2
Witches of Bangor,107885992,107751353,,,5.10c,5
Witches of Bangor,107885992,106449525,,,5.10c,5
Witches of Bangor,107885992,106792700,,,5.10c,3
Witches of Bangor,107885992,108173104,,,5.10c,3
Witches of Bangor,107885992,107544688,,,5.10c,3
Weisenheimer Brainstorm,106140407,105915753,,,5.11a,4
Weisenheimer Brainstorm,106140407,105952525,,,5.11a,3
Weisenheimer Brainstorm,106140407,106517269,,,5.11a,3
Weisenheimer Brainstorm,106140407,108172477,,,5.11a,3
Zeitgeist,106138634,107250871,107772111,5,5.10a,5
Zeitgeist,106138634,107629487,106062921,4,5.10a,5
Zeitgeist,106138634,108079187,107340553,4,5.10a,4
Zeitgeist,106138634,107792163,108173104,4,5.10a,4
Zeitgeist,106138634,107807423,108220477,4,5.10a,4
Zeitgeist,106138634,107574703,107555793,4,5.10a,4
Weisenheimer Brainstorm,106140407,107636562,,,5.11a,3
Weisenheimer Brainstorm,106140407,105855362,,,5.11a,3
Weisenheimer Brainstorm,106140407,105967115,,,5.11a,3
Weisenheimer Brainstorm,106140407,106142131,,,5.11a,2
Shady Lady,106138616,107772111,107592563,4,5.7,5
Shady Lady,106138616,107978046,107107345,4,5.7,4
Plumber's Crack,107034624,106403737,108282189,4,5.6,5
Plumber's Crack,107034624,107635248,108424569,3,5.6,4
Plumber's Crack,107034624,107229840,107223178,3,5.6,3
Pay It Forward,106811030,108007498,107148964,4,5.9,4
One Repetition Max,107507863,107089682,,,5.12b,3
